RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
8166,15813503,Pickering,606,Spain,Male,37,8,154712.58,2,1,0,89099.18,0
6410,15690695,Flynn,683,France,Female,33,9,0.0,2,1,1,38784.42,0
2158,15750649,Uwakwe,744,France,Female,44,3,0.0,2,1,1,189016.14,0
1619,15662955,Nicholls,697,France,Male,27,8,141223.68,2,1,0,90591.15,0
1634,15755868,Farmer,562,France,Male,35,7,0.0,1,0,0,48869.67,0
7788,15675963,Padovano,627,France,Female,57,9,0.0,2,1,1,107712.42,0
3289,15807837,Mazzanti,640,France,Female,30,6,107499.7,1,1,1,187632.22,0
4226,15671804,Wilding,648,Spain,Male,36,8,146943.38,2,1,1,130041.45,0
1333,15796721,Nnamutaezinwa,778,France,Male,38,3,145018.49,2,1,1,126702.41,0
8692,15632439,Pinto,698,France,Female,39,4,0.0,2,0,1,47455.82,0
7269,15587266,Douglas,606,Germany,Female,27,6,172310.33,1,0,1,111448.92,0
6444,15764927,Rogova,753,France,Male,92,3,121513.31,1,0,1,195563.99,0
7230,15635244,Ritchie,716,France,Female,29,6,0.0,2,1,1,98998.61,0
7150,15699340,Okorie,680,France,Male,37,4,0.0,2,1,0,61240.87,0
1081,15589195,Bluett,766,Germany,Female,38,7,130933.74,1,0,1,2035.94,0
4677,15610271,Andreev,684,Spain,Female,42,3,103210.27,1,1,0,31002.03,0
9727,15662494,Goliwe,773,Spain,Male,43,7,138150.57,1,1,1,177357.16,0
6880,15772618,Tyler,665,France,Male,25,7,90920.75,1,0,1,112256.57,0
9580,15640407,Chidiegwu,821,Germany,Male,45,0,135827.33,2,1,1,131778.58,0
8860,15743456,Birnie,715,France,Female,32,10,0.0,2,1,0,60907.49,0
1900,15806880,Boyle,627,Spain,Female,30,6,0.0,1,1,1,113408.47,0
6335,15611329,Findlay,608,Spain,Female,35,6,0.0,2,1,1,143463.28,0
1678,15801767,Yin,784,Spain,Female,40,8,0.0,2,1,0,108891.3,0
2821,15813916,Kudryashova,622,France,Female,31,1,89688.94,1,1,1,152305.47,0
5165,15624323,Atkins,642,France,Male,36,4,0.0,2,1,1,195224.91,0
9186,15715078,Nkemakolam,584,France,Male,35,6,161613.94,2,1,1,148238.16,0
5797,15674254,Kerr,554,Spain,Female,45,4,0.0,2,1,1,193412.05,0
7832,15635143,Fennescey,749,France,Male,42,2,56726.83,2,0,1,185543.35,0
2156,15725997,She,660,France,Female,35,6,100768.77,1,1,0,19199.61,0
3595,15578369,Chiedozie,652,Germany,Female,37,9,145219.3,1,1,0,159132.83,0
578,15633922,Gray,755,France,Male,30,4,123217.66,2,0,1,144183.1,0
4036,15792607,Little,769,France,Female,38,2,0.0,2,0,0,75578.67,0
1684,15709387,Obiajulu,711,France,Male,52,5,0.0,1,1,1,159808.95,0
5813,15587835,Osinachi,850,France,Male,41,3,136416.82,1,0,1,57844.26,0
3639,15684367,Chigbogu,555,Spain,Male,27,5,0.0,2,0,0,96398.51,0
4917,15613816,Mao,539,Spain,Female,39,6,62052.28,1,0,1,59755.14,0
6065,15680399,Tung,772,France,Male,23,2,0.0,2,1,0,18364.19,0
7683,15805261,Balashov,700,Spain,Male,29,8,0.0,2,0,1,152097.02,0
